name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro
L. Messi,Lionel Andrés Messi Cuccittini,6/24/1987,31,170.18,72.1,CF,RW,ST,Argentina,94,94,110500000,565000
C. Eriksen,Christian Dannemann Eriksen,2/14/1992,27,154.94,76.2,CAM,RM,CM,Denmark,88,89,69500000,205000
P. Pogba,Paul Pogba,3/15/1993,25,190.5,83.9,CM,CAM,France,88,91,73000000,255000
L. Insigne,Lorenzo Insigne,6/4/1991,27,162.56,59,LW,ST,Italy,88,88,62000000,165000
K. Koulibaly,Kalidou Koulibaly,6/20/1991,27,187.96,88.9,CB,Senegal,88,91,60000000,135000
V. van Dijk,Virgil van Dijk,7/8/1991,27,193.04,92.1,CB,Netherlands,88,90,59500000,215000
K. Mbappé,Kylian Mbappé,12/20/1998,20,152.4,73,RW,ST,RM,France,88,95,81000000,100000
S. Agüero,Sergio Leonel Agüero del Castillo,6/2/1988,30,172.72,69.9,ST,Argentina,89,89,64500000,300000
M. Neuer,Manuel Neuer,3/27/1986,32,193.04,92.1,GK,Germany,89,89,38000000,130000
E. Cavani,Edinson Roberto Cavani Gómez,2/14/1987,32,185.42,77.1,ST,Uruguay,89,89,60000000,200000
Sergio Busquets,Sergio Busquets i Burgos,7/16/1988,30,187.96,76.2,CDM,CM,Spain,89,89,51500000,315000
T. Courtois,Thibaut Courtois,5/11/1992,26,198.12,96.2,GK,Belgium,89,90,53500000,240000
M. ter Stegen,Marc-André ter Stegen,4/30/1992,26,187.96,84.8,GK,Germany,89,92,58000000,240000
A. Griezmann,Antoine Griezmann,3/21/1991,27,175.26,73,CF,ST,France,89,90,78000000,145000
M. Salah,Mohamed Salah Ghaly,6/15/1992,26,175.26,71.2,RW,ST,Egypt,89,90,78500000,265000
P. Dybala,Paulo Bruno Exequiel Dybala,11/15/1993,25,152.4,74.8,CAM,RW,Argentina,89,94,89000000,205000
M. Škriniar,Milan Škriniar,2/11/1995,24,187.96,79.8,CB,Slovakia,86,93,53500000,89000
Fernandinho,Fernando Luiz Rosa,5/4/1985,33,152.4,67.1,CDM,Brazil,87,87,20500000,200000
G. Higuaín,Gonzalo Gerardo Higuaín,12/10/1987,31,185.42,88.9,ST,Argentina,87,87,48500000,205000
I. Rakitić,Ivan Rakitić,3/10/1988,30,182.88,78,CM,CDM,Croatia,87,87,46500000,260000
J. Vertonghen,Jan Vertonghen,4/24/1987,31,187.96,86.2,CB,Belgium,87,87,34000000,155000
D. Mertens,Dries Mertens,5/6/1987,31,170.18,60.8,CF,ST,Belgium,87,87,45000000,135000
Marcelo,Marcelo Vieira da Silva Júnior,5/12/1988,30,175.26,79.8,LB,Brazil,87,87,36500000,240000
T. Alderweireld,Toby Alderweireld,3/2/1989,30,185.42,81.2,CB,Belgium,87,88,44000000,165000
Jordi Alba,Jordi Alba Ramos,3/21/1989,29,170.18,68,LB,Spain,87,87,38000000,250000
Thiago,Thiago Alcântara do Nascimento,4/11/1991,27,175.26,69.9,CM,CAM,CDM,Spain,87,87,51500000,140000
C. Immobile,Ciro Immobile,2/20/1990,29,185.42,84.8,ST,Italy,87,87,52000000,115000
K. Navas,Keylor Navas,12/15/1986,32,185.42,80.3,GK,Costa Rica,87,87,30500000,195000
J. Kimmich,Joshua Kimmich,2/8/1995,24,175.26,70,CDM,RB,Germany,86,89,46000000,110000
